,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,RestaurantsTakeOut,BusinessParking,RestaurantsDelivery,WiFi,Caters,BikeParking,RestaurantsPriceRange,BusinessAcceptsCreditCards,OutdoorSeating,WheelchairAccessible,DogsAllowed,GoodForKids,NoiseLevel,Alcohol,HasTV,RestaurantsReservations,Ambience,RestaurantsGoodForGroups,GoodForMeal,RestaurantsAttire,RestaurantsTableService,HappyHour,BusinessAcceptsBitcoin,ByAppointmentOnly,BYOB,DriveThru,Corkage,Smoking,GoodForDancing,Music,BestNights,CoatCheck,BYOBCorkage,AcceptsInsurance,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,weekhour
10,24lSE7dbGZXSLOxBpq1nuQ,TMIX Tea & Dessert Bar,3432 Cambie Street,Vancouver,BC,V5Z 2W8,49.2545306,-123.1148788,3.5,64,0,"Bubble Tea, Desserts, Food, Coffee & Tea",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",None,free,FALSE,TRUE,None,None,FALSE,None,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15:0-23:0,15:0-23:0,15:0-23:0,15:0-23:0,15:0-0:0,13:0-0:0,13:0-23:0,62
11,Afi8qhzzrot7GC4_51kB6Q,Mr. Mustache Tea & Dessert,"6125 Sussex Ave, Ste 110",Burnaby,BC,V5H 4G1,49.2291191,-122.9991509,4,59,1,"Bubble Tea, Desserts, Food, Coffee & Tea",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,free,None,None,None,None,TRUE,None,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,FALSE,None,None,None,None,None,None,None,None,0:0-0:0,14:0-22:0,14:0-22:0,14:0-22:0,14:0-22:0,14:0-22:0,14:0-22:0,48
12,BlWrgrq8nRVvdQKO5_lzFQ,Banana Cafe,6543 SE Milwaukie Ave,Portland,OR,97222,45.47542572,-122.6493301,4,20,0,"Sandwiches, Restaurants, Vietnamese, Coffee & Tea, Food, Bubble Tea",TRUE,"{garage: False, street: False, validated: False, lot: False, valet: False}",FALSE,no,FALSE,None,None,TRUE,TRUE,None,None,TRUE,quiet,none,FALSE,FALSE,"{romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: False}",FALSE,None,casual,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,12:0-17:0,55
13,8xNY-EwTl6j1Wp4XcBZg8Q,Dumpling Daughter,37 Center St,Weston,MA,2493,42.366648,-71.300713,4,339,1,"Chinese, Bubble Tea, Food, Restaurants",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",None,no,TRUE,TRUE,None,TRUE,FALSE,TRUE,FALSE,TRUE,average,none,FALSE,FALSE,"{romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True}",TRUE,"{dessert: False, latenight: False, lunch: True, dinner: True, brunch: False, breakfast: False}",casual,FALSE,FALSE,FALSE,FALSE,None,None,None,None,None,None,None,None,None,None,None,11:30-20:0,11:30-20:0,11:30-20:0,11:30-20:0,11:30-20:0,11:30-20:0,51
14,zsDxqwfCuu974o80QML9PA,Black Mill Tea,"4800 No. 3 Road, 157",Richmond,BC,V6X 4E8,49.17867115,-123.1355212,4,17,1,"Bubble Tea, Tea Rooms, Food, Coffee & Tea",FALSE,"{garage: True, street: False, validated: True, lot: False, valet: False}",TRUE,free,FALSE,TRUE,None,None,FALSE,TRUE,None,None,average,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,63
15,9Ih-4eMu4qaOL0E05JrOwA,Kung Fu Tea,1916 Beacon St,Brighton,MA,2135,42.33658622,-71.14907933,4,97,1,"Juice Bars & Smoothies, Food, Coffee & Tea, Bubble Tea",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,free,TRUE,TRUE,None,TRUE,FALSE,None,FALSE,TRUE,average,None,None,None,None,None,None,None,None,None,FALSE,None,None,None,None,None,None,None,None,None,None,None,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-17:0,11:0-21:0,11:0-21:0,66
16,Kz1vH5Paf-7QdhmHwQUZlA,Yi Fang Taiwan Fruit Tea,9585 SW Washington Square Rd,Portland,OR,97223,45.4502551,-122.7813094,3,79,1,"Bubble Tea, Food, Coffee & Tea",TRUE,"{garage: True, street: True, validated: True, lot: False, valet: False}",TRUE,no,TRUE,TRUE,None,TRUE,FALSE,TRUE,TRUE,None,None,None,None,None,None,None,None,None,None,None,FALSE,None,None,None,None,None,None,None,None,None,None,None,12:0-19:0,12:0-19:0,12:0-19:0,10:0-19:0,12:0-19:0,12:0-19:0,12:0-18:0,50
17,N6euK1sd4ktlpp1nFdORAQ,Hearty Teriyaki Newton,67 Crafts St,Newton,MA,2458,42.3551898,-71.2016977,4.5,77,1,"Japanese, Bubble Tea, Asian Fusion, Restaurants, Food",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,no,TRUE,TRUE,None,TRUE,None,TRUE,FALSE,TRUE,None,none,TRUE,FALSE,"{touristy: False, hipster: False, romantic: False, divey: False, intimate: False, trendy: False, upscale: False, classy: False, casual: True}",FALSE,"{dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False}",casual,FALSE,TRUE,FALSE,None,FALSE,None,None,None,None,None,None,None,None,None,0:0-0:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,12:0-20:0,12:0-20:0,52
18,D320XoWLX8GbN4Hh7mqflA,Boba Babes,309 E 1st St,Sanford,FL,32771,28.81167524,-81.26523904,4,20,0,"Restaurants, Desserts, Waffles, Bubble Tea, Cafes, Food, Coffee & Tea",TRUE,"{garage: False, street: True, validated: False, lot: True, valet: False}",FALSE,free,FALSE,TRUE,None,TRUE,TRUE,TRUE,TRUE,TRUE,quiet,none,TRUE,FALSE,"{touristy: False, hipster: False, romantic: False, divey: False, intimate: False, trendy: False, upscale: False, classy: False, casual: False}",None,"{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",casual,FALSE,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,0:0-0:0,None,None,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,32
19,MqvMaY-0nmmZYf0B7tDBbQ,Boba Me,1520 Tremont St,Boston,MA,2120,42.33226,-71.0997542,4.5,50,1,"Vietnamese, Restaurants, Juice Bars & Smoothies, Food, Bubble Tea, Ice Cream & Frozen Yogurt",TRUE,None,TRUE,free,TRUE,TRUE,None,TRUE,None,TRUE,None,None,None,None,None,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,66
20,oJIcCCUr8KvJ-gR_WifOSg,Rollies,"79 S State St, Se A",Westerville,OH,43081,40.1238754,-82.9310382,3.5,36,0,"Food, Bubble Tea, Ice Cream & Frozen Yogurt",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",None,no,None,TRUE,None,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,70
21,H1TOSeQyuK-edXGWIRgG5g,CoCo Fresh Tea & Juice,"8100 No 2 Road, Unit 140",Richmond,BC,V7C 5J9,49.154835,-123.15823,3.5,46,1,"Food, Taiwanese, Juice Bars & Smoothies, Restaurants, Coffee & Tea, Bubble Tea",TRUE,"{garage: None, street: None, validated: False, lot: None, valet: False}",None,free,FALSE,TRUE,None,None,FALSE,TRUE,None,TRUE,None,None,None,FALSE,None,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11:0-23:0,11:0-18:0,11:0-23:0,11:0-23:0,11:0-23:30,11:0-23:30,11:0-23:0,80
22,qiYmiq9gTyynML1epKtW8A,OneZo Tapioca,4929 Kingsway,Burnaby,BC,V5H 2E5,49.226619,-122.993358,3.5,87,1,"Bubble Tea, Food",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",None,None,None,None,None,None,None,FALSE,None,TRUE,average,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-23:0,12:0-23:0,12:0-22:0,72
23,pm71rh0HCLTc3hXLw2vkRQ,Ez Freezy,11904 SE Division St,Portland,OR,97089,45.5041483,-122.5408966,4,50,1,"Bubble Tea, Ice Cream & Frozen Yogurt, Food",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",TRUE,free,FALSE,TRUE,None,TRUE,None,None,None,None,None,none,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,56
24,P6u9VBwU20tkfEKIlmrOTA,Patty Chens Dumpling Room,907 Main St,Cambridge,MA,2139,42.36355564,-71.09964884,3,200,0,"Specialty Schools, Education, Ethnic Food, Cafes, Cooking Schools, Taiwanese, Restaurants, Bubble Tea, Specialty Food, Food",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,free,TRUE,TRUE,None,TRUE,FALSE,None,None,TRUE,average,none,TRUE,None,"{romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True}",TRUE,None,casual,None,None,TRUE,None,None,None,None,None,None,None,None,None,None,None,17:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-22:0,74
25,3Womhy8g-3J-VREWO31d9Q,Ki Tea House Cafe,"6888 Royal Oak Avenue, Suite 105",Burnaby,BC,V5J 4J2,49.220812,-122.988659,4,52,0,"Waffles, Desserts, Japanese, Cafes, Bubble Tea, Restaurants, Coffee & Tea, Food, Chinese, Taiwanese",TRUE,"{garage: False, street: True, validated: False, lot: True, valet: False}",TRUE,free,None,TRUE,None,None,TRUE,TRUE,None,TRUE,quiet,none,FALSE,FALSE,"{touristy: False, hipster: False, romantic: False, intimate: False, trendy: False, upscale: False, classy: True, casual: True}",TRUE,"{dessert: True, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False}",casual,FALSE,None,None,None,FALSE,None,None,None,None,None,None,None,None,None,0:0-0:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,60
26,uudXOu1rwwnhJ97DuSWr7Q,Snow City,8935 Conroy Windermere Rd,Orlando,FL,32835,28.49449151,-81.50707858,4,59,1,"Bubble Tea, Food, Ice Cream & Frozen Yogurt, Poke",TRUE,"{garage: False, street: None, validated: False, lot: None, valet: False}",TRUE,free,TRUE,TRUE,None,TRUE,None,TRUE,None,None,average,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-22:0,11:30-22:0,12:0-21:0,70
27,tTWBiaSb2OFJuEbT_9bXDg,Blend Bubble Tea,3266 A Coast Meridian Road,Port Coquitlam,BC,V3B 3N4,49.2721308,-122.7555575,4.5,37,1,"Juice Bars & Smoothies, Tea Rooms, Bubble Tea, Coffee & Tea, Cafes, Desserts, Restaurants, Food",TRUE,"{garage: False, street: True, validated: False, lot: True, valet: False}",TRUE,free,TRUE,TRUE,None,None,FALSE,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-0:0,9:0-0:0,9:0-23:0,100
28,UzF_9LC2YXWoK3QKaGqyhA,Ben Gongs Tea,1030-3700 No 3 Road,Richmond,BC,V6X 2C1,49.1866459,-123.1334222,3,16,1,"Bubble Tea, Food, Juice Bars & Smoothies",TRUE,None,FALSE,free,TRUE,TRUE,None,None,None,TRUE,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,84
29,ch1ercqwoNLpQLxpTb90KQ,Boston Tea Stop,54 Jfk St,Cambridge,MA,2138,42.37182984,-71.12063885,3.5,494,1,"Ice Cream & Frozen Yogurt, Restaurants, Juice Bars & Smoothies, Food, Bubble Tea, Coffee & Tea",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,free,FALSE,TRUE,None,FALSE,FALSE,None,FALSE,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,None,FALSE,None,None,None,None,None,None,None,None,12:30-23:30,12:30-23:30,12:30-23:30,12:30-23:30,12:30-23:30,12:30-23:30,12:30-23:30,77
30,klo0sz7TioqCnVB_NVf_qA,Vietnamese Tea House,2526 E Hastings Street,Vancouver,BC,V5K 1Z3,49.2810287,-123.0536917,4.5,21,1,"Food, Vietnamese, Bubble Tea, Restaurants",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",FALSE,None,None,TRUE,None,None,None,None,None,TRUE,quiet,None,TRUE,None,"{touristy: False, hipster: False, romantic: False, intimate: False, trendy: False, upscale: False, classy: False, casual: False}",TRUE,"{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",casual,TRUE,None,None,FALSE,None,None,None,None,None,None,None,None,None,None,11:0-21:0,11:0-21:0,11:0-21:0,None,11:0-21:0,11:0-21:0,11:0-21:0,60
31,Yc0LgrjKALc97Yjk3ejD1Q,I love Ice Cream,"8701 W Irlo Bronson Memorial Hwy, Ste 132",Kissimmee,FL,34747,28.3477265,-81.634739,4.5,10,1,"Ice Cream & Frozen Yogurt, Sushi Bars, Restaurants, Bubble Tea, Food",TRUE,"{garage: False, street: False, validated: False, lot: False, valet: False}",TRUE,free,None,None,None,None,None,None,None,None,None,None,None,TRUE,None,TRUE,None,None,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,None,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,12:0-23:0,86
32,LGbgmsRy_a1peMOkxHQylQ,Yas Chinese Bistro,1493 N High St,Columbus,OH,43201,39.9928063,-83.0067661,3.5,152,1,"Restaurants, Chinese, Food, Bubble Tea",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",TRUE,no,FALSE,TRUE,None,TRUE,FALSE,None,None,TRUE,average,none,TRUE,FALSE,"{romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True}",TRUE,"{dessert: False, latenight: False, lunch: True, dinner: True, brunch: False, breakfast: False}",casual,None,None,None,None,None,None,None,None,None,None,None,None,no,None,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:30-22:0,11:30-22:0,76
33,b2bAMELqXjtlfg6i1RaFig,Helene Park Chocolates,"6800 Westgate Blvd, Ste 117",Austin,TX,78745,30.208261,-97.815195,4,10,0,"Specialty Food, Ice Cream & Frozen Yogurt, Desserts, Bubble Tea, Candy Stores, Coffee & Tea, Chocolatiers & Shops, Food",TRUE,"{garage: False, street: False, validated: False, lot: False, valet: False}",None,no,TRUE,TRUE,None,TRUE,None,TRUE,None,None,None,None,None,None,None,None,None,None,None,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,None,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,12:0-17:0,50
34,BXiqPvvF0Tp84K8dr9gh1w,Bubble Queen,3208 Oak Street,Vancouver,BC,V6H 2L3,49.256991,-123.127055,3.5,73,0,"Food, Asian Fusion, Coffee & Tea, Restaurants, Chinese, Bubble Tea",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,free,FALSE,TRUE,None,TRUE,TRUE,None,None,TRUE,average,none,FALSE,FALSE,"{romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: False}",TRUE,"{dessert: True, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",casual,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,None,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,12:0-0:0,12:0-0:0,12:0-18:0,58
35,RPnSUIZMRS5T8KsSI1dwMA,Bubble World,4300 Kingsway,Burnaby,BC,V5H 1Z8,49.2310706,-123.0087313,3.5,163,1,"Chinese, Coffee & Tea, Bubble Tea, Food, Restaurants, Taiwanese",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,no,FALSE,TRUE,None,None,FALSE,None,None,TRUE,loud,none,TRUE,FALSE,"{touristy: False, hipster: False, romantic: False, intimate: False, trendy: False, upscale: False, classy: False, casual: True}",TRUE,"{dessert: True, latenight: True, lunch: False, dinner: True, brunch: False, breakfast: False}",casual,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,None,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-3:0,11:0-3:0,11:0-2:0,107
36,eU79Z73ns_NrSpQleTIcNw,Bubble World,3377 Kingsway,Vancouver,BC,V5R 5K6,49.23305487,-123.0328939,3.5,33,1,"Tea Rooms, Bubble Tea, Taiwanese, Food, Ice Cream & Frozen Yogurt, Restaurants, Chinese",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",FALSE,free,FALSE,TRUE,None,None,TRUE,None,None,TRUE,None,none,TRUE,FALSE,"{touristy: False, hipster: False, romantic: False, intimate: False, trendy: False, upscale: False, classy: True, casual: False}",TRUE,None,casual,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-1:0,12:0-1:0,12:0-0:0,86
37,-21FIqnY2SoxVCNP_UOnOQ,Presotea,777 Dunsmuir Street,Vancouver,BC,V6C,49.28466148,-123.1162235,3,9,1,"Food, Coffee & Tea, Bubble Tea",None,"{garage: False, street: False, validated: False, lot: False, valet: False}",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10:0-19:0,10:0-19:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-20:0,11:0-19:0,69
38,amQF0OzN53xCmEY_p5LYDA,BAMBU,"8001 SE Powell Blvd, Ste M",Portland,OR,97206,45.498965,-122.579414,3.5,103,1,"Coffee & Tea, Bubble Tea, Food, Juice Bars & Smoothies, Desserts",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",FALSE,no,FALSE,FALSE,None,TRUE,TRUE,TRUE,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,42
39,bwZlXQ3FPFWmewJupcOcAQ,Tsaocaa,10A Tyler St,Boston,MA,2111,42.3509785,-71.0604784,3.5,23,1,"Bubble Tea, Juice Bars & Smoothies, Restaurants, Coffee & Tea, Desserts, Food",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,no,None,None,None,TRUE,None,None,FALSE,None,average,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12:0-20:30,12:0-20:30,12:0-20:30,12:0-20:30,12:0-20:30,12:0-20:30,12:0-20:30,59.5
40,x8356rU41kVx5bcoS9bZgQ,Sharetea,435Q North Road,Coquitlam,BC,V3K 3V9,49.2477744,-122.8911345,3.5,33,1,"Juice Bars & Smoothies, Food, Coffee & Tea, Bubble Tea",TRUE,"{garage: False, street: None, validated: False, lot: True, valet: False}",TRUE,free,FALSE,TRUE,None,None,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,77
